,ticker,period,Aktywa ogółem,I. Aktywa trwałe,1. Wartości niematerialne i prawne,2. Rzeczowe składniki majątku trwałego,3. Należności długoterminowe,4. Inwestycje długoterminowe,5. Pozostałe aktywa trwałe,II. Aktywa obrotowe,1. Zapasy,2. Należności krótkoterminowe,3. Inwestycje krótkoterminowe,W tym: środki pieniężne i inne aktywa pieniężne,4. Pozostałe aktywa obrotowe,5. Aktywa trwałe przeznaczone do sprzedaży,Pasywa ogółem,I. Kapitał własny,1. Kapitał (fundusz) podstawowy,2. Udziały (akcje) własne (wielkość ujemna),3. Kapitał (fundusz) zapasowy,4. Zysk (strata) z lat ubiegłych,5. Zysk (strata) netto,6. Udziały niekontrolujące,II. Zobowiązania ogółem,1. Zobowiązania długoterminowe,Z tytułu dostaw i usług,Kredyty i pożyczki,Z tytułu emisji dłużnych papierów wartościowych,Zobowiązania z tytułu leasingu finansowego,Inne zobowiązania długoterminowe,2. Zobowiązania krótkoterminowe,Inne zobowiązania krótkoterminowe,III. Rozliczenia międzyokresowe,A. Przepływy pieniężne z działalności operacyjnej,Amortyzacja,Zmiana stanu należności,Zmiana stanu zapasów,Zmiana stanu zobowiązań,Zmiana rezerw i pozostałe,Kapitał obrotowy,B. Przepływy pieniężne z działalności inwestycyjnej,CAPEX (niematerialne i rzeczowe),C. Przepływy pieniężne z działalności finansowej,Emisja akcji,Odsetki pozyskane,Odsetki zapłacone,Dywidenda,Przepływy pieniężne razem (A+B+C),Środki pieniężne na koniec okresu,I. Przychody ze sprzedaży,Techniczny koszt wytworzenia produkcji sprzedanej,Koszty sprzedaży,Koszty ogólnego zarządu,II. Zysk (strata) ze sprzedaży,Pozostałe przychody operacyjne,Pozostałe koszty operacyjne,III. EBIT,Przychody finansowe,Koszty finansowe,Pozostałe przychody (koszty),IV. Zysk (strata) z działalności gospodarczej,Wynik zdarzeń nadzwyczajnych,Zysk przed opodatkowaniem,Zysk (strata) netto z działalności zaniechanej,V. Zysk netto,W tym: zysk netto akcjonariuszy jednostki dominującej,Zysk netto na akcję
344,ULG,Y 12.19,9267.0,844.0,196.0,0.0,0.0,648.0,0.0,8423.0,2622.0,1625.0,0.0,4176.0,0.0,0.0,9267.0,8286.0,523.0,0.0,3535.0,4228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.0,289.0,54.0,1984.0,20.0,0.0,0.0,0.0,0.0,0.0,136.0,804.0,398.0,2990.0,0.0,0.0,1831.0,2518.0,4176.0,8503.0,0.0,0.0,0.0,4613.0,110.0,152.0,4571.0,645.0,4.0,64.0,5276.0,0.0,5276.0,0.0,4242.0,4242.0,0.81
345,ULM,Y 12.19,393172.0,275364.0,229.0,255864.0,0.0,2261.0,4395.0,117808.0,7387.0,61383.0,68.0,48970.0,0.0,0.0,393172.0,344132.0,10511.0,0.0,104892.0,228729.0,0.0,0.0,49040.0,12161.0,0.0,0.0,0.0,5471.0,6690.0,36879.0,2096.0,0.0,27765.0,43115.0,0.0,0.0,0.0,0.0,0.0,9159.0,2975.0,-36350.0,0.0,0.0,0.0,30010.0,574.0,48970.0,229366.0,144648.0,2478.0,19609.0,62631.0,1381.0,4963.0,59049.0,1123.0,1561.0,475.0,59086.0,0.0,59086.0,0.0,46201.0,46201.0,8.79
346,UNI,Y 12.19,1105437.0,246568.0,25131.0,117655.0,0.0,28875.0,74908.0,858868.0,261264.0,267558.0,628.0,178374.0,151044.0,0.0,1105437.0,270838.0,3507.0,0.0,215438.0,51893.0,0.0,5890.0,828708.0,191990.0,0.0,102983.0,0.0,0.0,89007.0,636718.0,187145.0,168514.0,185527.0,15874.0,0.0,0.0,0.0,0.0,0.0,-19093.0,4869.0,-44292.0,0.0,0.0,0.0,7516.0,122141.0,178374.0,1659658.0,1530483.0,8428.0,53743.0,67004.0,7149.0,34185.0,39968.0,4827.0,12472.0,6506.0,38828.0,0.0,38828.0,0.0,30053.0,29328.0,0.84
347,UNT,Y 12.19,687120.0,80393.0,18578.0,39343.0,0.0,2916.0,13403.0,606727.0,239258.0,306314.0,15660.0,38836.0,6659.0,0.0,687120.0,246936.0,8198.0,0.0,181013.0,57725.0,0.0,0.0,440184.0,21005.0,0.0,13094.0,0.0,0.0,7911.0,419179.0,4356.0,3070.0,23946.0,6442.0,0.0,0.0,0.0,0.0,0.0,-4580.0,2072.0,-17238.0,0.0,0.0,0.0,0.0,2128.0,38836.0,4450180.0,4223815.0,128150.0,26063.0,72152.0,-2556.0,852.0,68744.0,15168.0,9201.0,0.0,74711.0,0.0,74711.0,0.0,59923.0,60407.0,7.37
348,URS,Y 12.19,204570.0,109640.0,17815.0,91631.0,159.0,35.0,0.0,88808.0,76339.0,11649.0,0.0,820.0,0.0,6122.0,204570.0,-135721.0,64600.0,0.0,-1227.0,-199094.0,0.0,-1304.0,335836.0,13640.0,0.0,8433.0,0.0,0.0,5207.0,322196.0,22880.0,1369.0,27061.0,10920.0,0.0,0.0,0.0,0.0,0.0,1522.0,128.0,-29063.0,0.0,0.0,0.0,0.0,-480.0,820.0,80897.0,86985.0,6788.0,23916.0,-36792.0,5203.0,37921.0,-69510.0,61.0,22029.0,0.0,-91478.0,0.0,-91478.0,-939.0,-87180.0,-80048.0,-1.2391
349,VGO,Y 12.19,127718.0,98785.0,12371.0,67453.0,0.0,2308.0,16653.0,28933.0,6919.0,8370.0,0.0,12797.0,847.0,0.0,127718.0,68063.0,729.0,0.0,53450.0,13884.0,0.0,0.0,59655.0,47111.0,0.0,26791.0,0.0,0.0,20320.0,12544.0,3149.0,1354.0,15446.0,4587.0,0.0,0.0,0.0,0.0,0.0,-31129.0,32570.0,19222.0,0.0,0.0,0.0,0.0,3539.0,12797.0,42889.0,15875.0,2370.0,12238.0,12406.0,2678.0,1067.0,14017.0,148.0,257.0,0.0,13908.0,0.0,13908.0,0.0,13884.0,13884.0,19.05
350,VIN,Y 12.19,291201.0,20462.0,43.0,10639.0,0.0,5481.0,4299.0,270739.0,0.0,254660.0,9005.0,6975.0,99.0,0.0,291201.0,186698.0,1168.0,-347.0,153014.0,32863.0,0.0,0.0,104503.0,70977.0,0.0,70083.0,0.0,0.0,894.0,33526.0,2295.0,0.0,-18176.0,579.0,0.0,0.0,0.0,0.0,0.0,-849.0,1579.0,5559.0,40.0,0.0,0.0,3475.0,-13466.0,6975.0,47378.0,0.0,0.0,27803.0,19575.0,37.0,78.0,19534.0,1372.0,7518.0,-172.0,13216.0,0.0,13216.0,0.0,12897.0,12897.0,1.1
351,VOX,Y 12.19,337910.0,260697.0,69664.0,183131.0,0.0,4473.0,3429.0,77213.0,7263.0,46396.0,16083.0,7472.0,0.0,0.0,337910.0,155735.0,10503.0,0.0,88861.0,56372.0,0.0,37.0,182138.0,116522.0,0.0,25232.0,34927.0,28438.0,27925.0,65616.0,4867.0,4514.0,49224.0,22901.0,0.0,0.0,0.0,0.0,0.0,-42256.0,26554.0,-7061.0,0.0,0.0,0.0,10398.0,-94.0,7472.0,211660.0,155957.0,2255.0,19866.0,33582.0,2324.0,1583.0,34323.0,428.0,6297.0,0.0,28454.0,0.0,28454.0,0.0,22928.0,22975.0,2.19
352,VRG,Y 12.19,1431314.0,847036.0,499704.0,72497.0,664.0,31.0,7735.0,584278.0,535539.0,19986.0,0.0,25280.0,3473.0,0.0,1431314.0,863286.0,49122.0,0.0,14333.0,799831.0,0.0,0.0,568028.0,243356.0,0.0,56122.0,0.0,186112.0,1122.0,324672.0,20244.0,0.0,108615.0,110991.0,0.0,0.0,0.0,0.0,0.0,-16806.0,25970.0,-100052.0,0.0,0.0,0.0,0.0,-8243.0,25280.0,1068266.0,512192.0,383061.0,86118.0,86895.0,5861.0,5264.0,87492.0,3056.0,11191.0,0.0,79357.0,0.0,79357.0,0.0,63993.0,63993.0,0.27
353,VTI,Y 12.19,40365.0,17536.0,0.0,7.0,17.0,17011.0,502.0,22830.0,0.0,3528.0,60.0,19235.0,7.0,0.0,40365.0,40311.0,2984.0,0.0,41529.0,-4202.0,0.0,0.0,54.0,41.0,0.0,0.0,0.0,0.0,41.0,13.0,5.0,0.0,-4137.0,6.0,0.0,0.0,0.0,0.0,0.0,-2127.0,0.0,453.0,0.0,0.0,0.0,0.0,-5811.0,19235.0,120.0,11618.0,0.0,622.0,-12120.0,15.0,7.0,-12112.0,479.0,66.0,0.0,-11699.0,0.0,-11699.0,0.0,-10843.0,-10843.0,-0.3634
